Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
MergeSort,FewUnique,500000,1,66275900,2000000,2000000,4000000
QuickSort,FewUnique,500000,1,10869600,2000000,302,2000302
HeapSort,FewUnique,500000,1,26200800,2000000,12,2000012
BubbleSort,Random,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Random,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Random,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Random,1000000,1,175952300,4000000,4000000,8000000
QuickSort,Random,1000000,1,72148000,4000000,318,4000318
HeapSort,Random,1000000,1,111810800,4000000,12,4000012
BubbleSort,Sorted,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Sorted,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Sorted,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Sorted,1000000,1,115135200,4000000,4000000,8000000
QuickSort,Sorted,1000000,1,13149400,4000000,318,4000318
HeapSort,Sorted,1000000,1,51523900,4000000,12,4000012
BubbleSort,Reverse,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Reverse,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Reverse,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Reverse,1000000,1,115663100,4000000,4000000,8000000
QuickSort,Reverse,1000000,1,12427100,4000000,318,4000318
HeapSort,Reverse,1000000,1,57348000,4000000,12,4000012
BubbleSort,NearlySorted,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,NearlySorted,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,NearlySorted,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,NearlySorted,1000000,1,124567700,4000000,4000000,8000000
QuickSort,NearlySorted,1000000,1,21987400,4000000,318,4000318
HeapSort,NearlySorted,1000000,1,63329500,4000000,12,4000012
BubbleSort,FewUnique,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,FewUnique,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,FewUnique,1000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,FewUnique,1000000,1,135190400,4000000,4000000,8000000
QuickSort,FewUnique,1000000,1,23000900,4000000,318,4000318
HeapSort,FewUnique,1000000,1,55576000,4000000,12,4000012
BubbleSort,Random,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Random,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Random,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Random,10000000,1,1891884900,40000000,40000000,80000000
QuickSort,Random,10000000,1,780325800,40000000,372,40000372
HeapSort,Random,10000000,1,1880669200,40000000,12,40000012
BubbleSort,Sorted,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Sorted,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Sorted,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Sorted,10000000,1,1159397300,40000000,40000000,80000000
QuickSort,Sorted,10000000,1,140043700,40000000,372,40000372
HeapSort,Sorted,10000000,1,551860500,40000000,12,40000012
BubbleSort,Reverse,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,Reverse,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,Reverse,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,Reverse,10000000,1,1177434800,40000000,40000000,80000000
QuickSort,Reverse,10000000,1,139404000,40000000,372,40000372
HeapSort,Reverse,10000000,1,602027400,40000000,12,40000012
BubbleSort,NearlySorted,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,NearlySorted,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,NearlySorted,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,NearlySorted,10000000,1,1284462000,40000000,40000000,80000000
QuickSort,NearlySorted,10000000,1,230001900,40000000,372,40000372
HeapSort,NearlySorted,10000000,1,732323900,40000000,12,40000012
BubbleSort,FewUnique,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
InsertionSort,FewUnique,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SelectionSort,FewUnique,10000000,0,SKIPPED,SKIPPED,SKIPPED,SKIPPED
MergeSort,FewUnique,10000000,1,1398715000,40000000,40000000,80000000
QuickSort,FewUnique,10000000,1,240117200,40000000,372,40000372
HeapSort,FewUnique,10000000,1,564641300,40000000,12,40000012
